year, doy, time, rh (m), uncertainty (m)
2018,141,2018.3863,5.356,0.203
2018,144,2018.3945,5.35,0.213
2018,177,2018.4849,5.308,0.078
2018,178,2018.4877,5.575,0.06
2018,179,2018.4904,5.374,0.131
2018,182,2018.4986,5.507,0.037
2018,183,2018.5014,5.488,0.045
2018,184,2018.5041,5.495,0.049
2018,185,2018.5068,5.437,0.044
2018,186,2018.5096,5.439,0.038
2018,187,2018.5123,5.455,0.037
2018,188,2018.5151,5.47,0.03
2018,189,2018.5178,5.457,0.037
2018,190,2018.5205,5.446,0.036
2018,191,2018.5233,5.421,0.028
2018,192,2018.526,5.474,0.031
2018,193,2018.5288,5.458,0.032
2018,194,2018.5315,5.48,0.041
2018,195,2018.5342,5.466,0.032
2018,196,2018.537,5.468,0.035
2018,197,2018.5397,5.515,0.034
2018,198,2018.5425,5.484,0.03
2018,199,2018.5452,5.535,0.035
2018,200,2018.5479,5.526,0.027
2018,201,2018.5507,5.493,0.032
2018,202,2018.5534,5.498,0.032
2018,203,2018.5562,5.532,0.03
2018,204,2018.5589,5.526,0.03
2018,205,2018.5616,5.49,0.035
2018,206,2018.5644,5.506,0.032
2018,207,2018.5671,5.498,0.035
2018,208,2018.5699,5.508,0.029
2018,209,2018.5726,5.517,0.028
2018,210,2018.5753,5.51,0.027
2018,211,2018.5781,5.519,0.034
2018,212,2018.5808,5.507,0.032
2018,213,2018.5836,5.499,0.03
2018,214,2018.5863,5.516,0.033
2018,215,2018.589,5.532,0.029
2018,216,2018.5918,5.558,0.029
2018,217,2018.5945,5.515,0.029
2018,218,2018.5973,5.521,0.034
2018,219,2018.6,5.524,0.029
2018,220,2018.6027,5.523,0.032
2018,221,2018.6055,5.52,0.031
2018,222,2018.6082,5.522,0.028
2018,223,2018.611,5.515,0.03
2018,224,2018.6137,5.502,0.038
2018,225,2018.6164,5.529,0.033
2018,226,2018.6192,5.529,0.031
2018,227,2018.6219,5.536,0.04
2018,228,2018.6247,5.561,0.036
2018,229,2018.6274,5.534,0.03
2018,230,2018.6301,5.543,0.038
2018,231,2018.6329,5.547,0.031
2018,232,2018.6356,5.512,0.033
2018,233,2018.6384,5.531,0.037
2018,234,2018.6411,5.518,0.03
2018,235,2018.6438,5.506,0.032
2018,236,2018.6466,5.555,0.03
2018,237,2018.6493,5.525,0.031
2018,238,2018.6521,5.554,0.033
2018,239,2018.6548,5.535,0.034
2018,240,2018.6575,5.472,0.027
2018,241,2018.6603,5.562,0.035
2018,242,2018.663,5.538,0.03
2018,243,2018.6658,5.557,0.036
2018,244,2018.6685,5.546,0.037
2018,245,2018.6712,5.563,0.034
2018,246,2018.674,5.566,0.029
2018,247,2018.6767,5.536,0.031
2018,248,2018.6795,5.553,0.037
2018,249,2018.6822,5.576,0.037
2018,250,2018.6849,5.584,0.045
2018,251,2018.6877,5.559,0.033
2018,252,2018.6904,5.577,0.03
2018,253,2018.6932,5.521,0.032
2018,254,2018.6959,5.479,0.043
2018,255,2018.6986,5.531,0.056
2018,256,2018.7014,5.535,0.026
2018,257,2018.7041,5.561,0.029
2018,258,2018.7068,5.506,0.042
2018,259,2018.7096,5.514,0.044
2018,260,2018.7123,5.533,0.039
2018,261,2018.7151,5.545,0.043
2018,262,2018.7178,5.535,0.044
2018,263,2018.7205,5.527,0.046
2018,264,2018.7233,5.559,0.034
2018,265,2018.726,5.554,0.042
2018,266,2018.7288,5.501,0.044
2018,267,2018.7315,5.529,0.041
2018,268,2018.7342,5.556,0.046
2018,269,2018.737,5.512,0.039
2018,270,2018.7397,5.561,0.056
2018,271,2018.7425,5.529,0.049
2018,272,2018.7452,5.503,0.046
2018,273,2018.7479,5.563,0.06
2018,274,2018.7507,5.508,0.058
2018,287,2018.7863,5.538,0.055
2018,288,2018.789,5.524,0.051
2018,289,2018.7918,5.516,0.046
2018,290,2018.7945,5.578,0.051
2018,302,2018.8274,5.505,0.044
2018,303,2018.8301,5.524,0.02
2019,15,2019.0411,5.365,0.082
2019,16,2019.0438,5.383,0.085
2019,26,2019.0712,5.337,0.06
2019,28,2019.0767,5.383,0.041
2019,29,2019.0795,5.386,0.038
2019,30,2019.0822,5.381,0.036
2019,31,2019.0849,5.371,0.033
2019,32,2019.0877,5.407,0.036
2019,33,2019.0904,5.399,0.04
2019,35,2019.0959,5.671,0.266
2019,36,2019.0986,5.569,0.195
2019,45,2019.1233,5.285,0.024
2019,46,2019.126,5.278,0.02
2019,52,2019.1425,6.695,0.026
2019,53,2019.1452,6.72,0.021
2019,54,2019.1479,6.726,0.022
2019,55,2019.1507,6.701,0.032
2019,56,2019.1534,6.622,0.039
2019,57,2019.1562,6.624,0.042
2019,58,2019.1589,6.624,0.043
2019,59,2019.1616,6.662,0.034
2019,60,2019.1644,6.628,0.039
2019,61,2019.1671,6.63,0.04
2019,62,2019.1699,6.634,0.039
2019,63,2019.1726,6.629,0.041
2019,64,2019.1753,6.615,0.042
2019,65,2019.1781,6.632,0.04
2019,66,2019.1808,6.636,0.04
2019,67,2019.1836,6.646,0.037
2019,68,2019.1863,6.645,0.035
2019,69,2019.189,6.658,0.034
2019,70,2019.1918,6.621,0.043
2019,71,2019.1945,6.613,0.041
2019,72,2019.1973,6.612,0.041
2019,73,2019.2,6.613,0.043
2019,74,2019.2027,6.639,0.04
2019,75,2019.2055,6.633,0.043
2019,76,2019.2082,6.657,0.036
